system,n_atoms,model,dtype,device,n_warmup,n_steps,elapsed_s,steps_per_s,ms_per_step,vram_mib,status,error
1ZG4,2224,MACE-OFF23(S),float32,cuda:0,100,100,16.0759,6.22,160.76,1858.0,ok,
3N5G,2304,MACE-OFF23(S),float32,cuda:0,100,100,21.1743,4.72,211.74,1898.0,ok,
5G1P,13193,MACE-OFF23(S),float32,cuda:0,100,100,76.4766,1.31,764.77,10630.0,ok,
1B3B,19008,MACE-OFF23(S),float32,cuda:0,100,100,203.4399,0.49,2034.4,15690.0,ok,
9VM6,?,MACE-OFF23(S),float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 7.07 GiB. GPU 0 has a total capacity of 22.06 GiB of which 5.56 GiB is free. Including non-PyTorch memory, this process has 16.50 GiB memory in use. Of the allocated memory 16.02 GiB is allocated by PyTorch, and 190.09 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
water_99k,?,MACE-OFF23(S),float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_199k,?,MACE-OFF23(S),float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
water_499k,?,MACE-OFF23(S),float32,cuda:0,100,100,,,,,skipped,OOM on 53700-atom system
capped_ala,22,MACE-OFF23(L),float32,cuda:0,100,100,3.1253,32.0,31.25,226.0,ok,
chignolin,138,MACE-OFF23(L),float32,cuda:0,100,100,7.3608,13.59,73.61,1874.0,ok,
ubiquitin,602,MACE-OFF23(L),float32,cuda:0,100,100,25.4088,3.94,254.09,5820.0,ok,
2LZM,1427,MACE-OFF23(L),float32,cuda:0,100,100,61.5014,1.63,615.01,15162.0,ok,
1ZG4,2224,MACE-OFF23(L),float32,cuda:0,100,100,114.2621,0.88,1142.62,20544.0,ok,
3N5G,2304,MACE-OFF23(L),float32,cuda:0,100,100,119.1949,0.84,1191.95,20564.0,ok,
5G1P,?,MACE-OFF23(L),float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 8.98 GiB. GPU 0 has a total capacity of 22.06 GiB of which 8.56 GiB is free. Including non-PyTorch memory, this process has 13.49 GiB memory in use. Of the allocated memory 13.03 GiB is allocated by PyTorch, and 170.69 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1B3B,?,MACE-OFF23(L),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
9VM6,?,MACE-OFF23(L),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_99k,?,MACE-OFF23(L),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_199k,?,MACE-OFF23(L),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_499k,?,MACE-OFF23(L),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
capped_ala,22,MACE-OFF24(M),float32,cuda:0,100,100,2.592,38.58,25.92,98.0,ok,
chignolin,138,MACE-OFF24(M),float32,cuda:0,100,100,3.3474,29.87,33.47,694.0,ok,
ubiquitin,602,MACE-OFF24(M),float32,cuda:0,100,100,11.7823,8.49,117.82,2136.0,ok,
2LZM,1427,MACE-OFF24(M),float32,cuda:0,100,100,27.076,3.69,270.76,5022.0,ok,
1ZG4,2224,MACE-OFF24(M),float32,cuda:0,100,100,42.0465,2.38,420.46,8836.0,ok,
3N5G,2304,MACE-OFF24(M),float32,cuda:0,100,100,47.1844,2.12,471.84,8056.0,ok,
5G1P,?,MACE-OFF24(M),float32,cuda:0,100,100,,,,,error,"torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 4.83 GiB. GPU 0 has a total capacity of 22.06 GiB of which 4.84 GiB is free. Including non-PyTorch memory, this process has 17.22 GiB memory in use. Of the allocated memory 16.76 GiB is allocated by PyTorch, and 163.11 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)"
1B3B,?,MACE-OFF24(M),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
9VM6,?,MACE-OFF24(M),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
water_99k,?,MACE-OFF24(M),float32,cuda:0,100,100,,,,,skipped,OOM on 13193-atom system
