model,dtype,device,n_molecules,n_errors,mae_kj_mol,mae_kcal_mol,mae_ev,status,error
AllScAIP-cons,float32,cuda:0,800,0,2.229,0.5327,0.023102,ok,
AllScAIP-direct,float32,cuda:0,800,0,2.4651,0.5892,0.025549,ok,
