model,dtype,device,n_molecules,mae_kj_mol,mae_kcal_mol,mae_ev,status,error
FeNNix-Bio1(S),float32,cuda:0,800,8.8346,2.1115,0.091564,ok,
FeNNix-Bio1(M),float32,cuda:0,800,7.8828,1.884,0.081699,ok,
